track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,20,64,35,6,0,122,A#,Major,88,43,50,7,0,14,5
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,120,86,164,4,0,180,C#,Major,64,44,65,28,0,14,12
A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800,21,20,40,0,0,92,,Major,86,89,79,17,0,11,6
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,C#,Minor,76,81,80,20,0,25,4
Plan A,Paulo Londra,1,2022,3,23,1105,0,240661097,32,0,19,0,0,174,,Major,58,56,83,5,0,7,4
Chance,Paulo Londra,1,2022,4,6,225,0,89566512,11,0,7,0,0,138,C#,Minor,72,22,46,24,0,9,6
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540,27,44,24,0,5,78,F,Major,56,61,90,36,0,18,31
Un Ratito,Bad Bunny,1,2022,5,6,1112,6,417230415,7,30,13,1,1,93,,Minor,79,22,55,31,0,12,5
Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297,7,21,11,0,0,142,,Major,87,93,59,28,0,17,5
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299,9,11,22,1,0,85,A#,Major,71,43,65,23,0,9,5
Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004,10,24,11,0,0,130,C#,Major,82,50,67,12,0,13,5
Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558,5,28,9,0,0,152,B,Major,84,74,69,21,0,18,6
Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161,4,15,10,0,0,121,F#,Minor,86,67,65,42,0,35,7
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261,8,12,9,0,0,188,F,Minor,50,41,50,69,0,12,6
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940,7,25,12,0,0,105,G#,Major,81,77,79,19,0,47,8
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890,9,7,14,0,1,118,G#,Major,63,60,70,5,0,9,31
Agosto,Bad Bunny,1,2022,5,6,897,0,246127838,6,20,8,0,0,115,C#,Minor,85,72,58,9,0,49,12
